term,module,definition
** torchaudio,Module 12 - Gradient Descent and Backpropagation.docx,"** A library for audio processing, offering tools for loading, transforming, and analyzing audio data."
** torchtext,Module 12 - Gradient Descent and Backpropagation.docx,"** A library for natural language processing, providing tools for text preprocessing, tokenization, and building NLP models."
** torchvision,Module 12 - Gradient Descent and Backpropagation.docx,"** A dedicated library for computer vision tasks, providing datasets, transformations, and pre-trained models."
95% confidence interval,Module 08 - Coefficients and Metrics.docx,the lower and upper values
"A logistic function is often used in logistic regression to model how the probability of an event may be affected by one or more explanatory variables. An example would be to have the model p=f(a+bx), where x is the explanatory variable, a and b are model parameters to be fitted, and f is the standard logistic function",Module 08 - Logistic Regression.docx,p=1+e−(β0​+β1​x)1​
ACF,Module 13 - Statsmodels Time Series Complete.docx,"ACF stands for Autocorrelation Function. It's a tool used in time series analysis to measure the correlation between a time series and lagged versions of itself. In simpler terms, it helps you understand how a data point at a particular time is related to data points that came before it."
AIC,Module 08 - Coefficients and Metrics.docx,"Akaike Information Criterion is used to compare models, a lower score is better (doesn't address features, just the overall model)"
AIC (Akaike Information Criterion),Module 10 - GLM vs OLS.docx,An estimator of prediction error for a statistical model. It's used to compare different models and select the one that is most likely to make good predictions.
ANN,Module 12 - ANN.docx,"Weights Weights are values that determine the strength of the connections between neurons in the network. During training, weights are adjusted to map input features to the desired output. Biases Each neuron has a bias, which is an offset that allows the neuron to activate even when the weighted sum of its inputs is zero. Biases provide flexibility, enhance representation capabilities, and improve learning efficiency. Learning Rate The learning rate controls how much the model's parameters (weights and biases) are adjusted during each iteration of the training process. Choosing the right learning rate is critical for successful training. Forward Propagation Forward propagation is the process of passing the input data through the neural network to get the output. The output of one layer becomes the input to the next layer. Sigmoid Function The sigmoid function is a mathematical function with an ""S""-shaped curve, used as an activation function in neural networks to introduce non-linearity. The output of the sigmoid function is always between 0 and 1, making it useful for representing probabilities. Backpropagation Backpropagation is the algorithm used to train neural networks. It calculates how much each weight and bias contributes to the overall error and updates those parameters to improve the network's accuracy. Sigmoid Derivative The sigmoid derivative plays a crucial role in the backpropagation algorithm. It tells us how much the output of the sigmoid function changes with respect to a small change in its input. Gradient Descent Update Formula The gradient descent update formula represents the gradient descent update rule. It describes how the parameters (weights and biases) are adjusted based on the gradient of the error function. Input Data (x) The input data (x) contains the features that the neural network will use to learn and make predictions. Each row in x represents a different sample or data point, and each column represents a different feature. Target Output (y) The target output (y) contains the corresponding target output or labels for each sample in x. These labels represent the desired outcome or prediction that the neural network should learn to produce. Training the Neural Network The purpose of x and y is to train the neural network to learn a mapping between the input features and the target output. Prediction After training, the neural network can be used to predict the output for new input data. CPUs, T4 GPUs, and TPU v2-8s These are different types of processors with varying strengths and weaknesses. CPUs are general-purpose processors, T4 GPUs are parallel processors well-suited for deep learning, and TPU v2-8s are custom-designed processors specifically for machine learning and AI workloads. "
ANOVA (Analysis of Variance),Module 04 - Hypothesis Testing.docx,A statistical test used to compare the means of three or more groups.
APIs (Application Programming Interfaces),Module 02 - Data.docx,Allow different software systems to communicate and exchange data.
ARIMA,Module 13 - Statsmodels Time Series Complete.docx,ARIMA stands for Autoregressive Integrated Moving Average. It's a powerful statistical model used for analyzing and forecasting time series data. The AR part of the model uses past values to predict future values. The I part deals with making the time series stationary. The MA part of the model uses past forecast errors to predict future values.
AUC (Area Under the ROC Curve),Module 11 - Confusion Matrix Binary.docx,A measure of the overall performance of a classification model. A higher AUC indicates better discrimination ability.
Abraham de Moivre (1667-1754),Module 04 - Hypothesis Testing.docx,"Developed the Doctrine of Chances, contributed to the Central Limit Theorem, and introduced the normal distribution."
Abstraction,Module 12 - Gradient Descent and Backpropagation.docx,"As the information flows through the layers, the representations become more abstract. Early layers might focus on individual words or simple patterns, while deeper layers might capture more complex relationships and long-term dependencies."
Accuracy,Module 11 - Confusion Matrix Binary.docx,The proportion of correctly classified instances out of the total instances. It's calculated as (TP + TN) / (TP + FP + TN + FN).
Accuracy,Module 11 - Precision Recall.docx,The proportion of correctly classified instances out of the total instances. It's not always the best metric for imbalanced datasets.
Act,Module 12 - Gradient Descent and Backpropagation.docx,The agent chooses an action based on its policy.
Activation,Module 12 - Gradient Descent and Backpropagation.docx,"The activation function mimics the ""firing"" of a biological neuron when the input exceeds a certain threshold."
Activation Function,Module 12 - Gradient Descent and Backpropagation.docx,"The activation function introduces non-linearity, enabling the network to learn complex relationships in the data. Introduces non-linearity and produces the final output. y = σ(z) = 1 / (1 + exp(-z)) (where σ represents the sigmoid function)"
